Country_ID,zlene,COUNTRY
PKN,-3.02,PK
PKN,-1.87,PK
PKN,-2.25,PK
PKN,-3.08,PK
PKN,-1.95,PK
PKN,-2.4,PK
PKN,-1.17,PK
SAV,1.51,ZA
SAV,-0.56,ZA
SAV,0.4,ZA
SAV,-0.83,ZA
SAV,2,ZA
SAV,-1.58,ZA
SAV,0.36,ZA
SAV,-0.78,ZA
SAV,0.7,ZA
SAV,-0.4,ZA
SAV,-0.35,ZA
SAV,-0.35,ZA
SAV,1.3,ZA
SAV,-0.11,ZA
SAV,1.1,ZA
SAV,1.68,ZA
SAV,-0.74,ZA
SAV,-2.09,ZA
SAV,-1.33,ZA
